"Year";"Site";"Tax_ID";"Cover";"Location";"Latitude";"Longitude";"Depth";"DatasetID";"Area";"Country";"Archipelago"
2016;"SL1";"Abiotic";1,602891566;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Hard Coral";59,00071355;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Soft Coral";3,555109741;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Sponge";2,553469693;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Milleporidae";0,321285;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Other_organism";0,414308396;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Turf and Coralline";32,2861754;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL1";"Algae_other";0,587331652;"Isla Solarte";9,312184;-82,217241;5,00000016;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Abiotic";5,044497992;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Hard Coral";47,47309237;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Soft Coral";0,32064257;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Sponge";0,560321285;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Milleporidae";0,320321;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Other_organism";0,320321285;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Turf and Coralline";41,31855422;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL2";"Algae_other";4,962570281;"Isla Solarte";9,316707;-82,215971;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Abiotic";16,44621849;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Hard Coral";30,27815126;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Soft Coral";4,140336134;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Sponge";0,805042017;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Milleporidae";0,6;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Other_organism";1;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Turf and Coralline";45,11008403;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL3";"Algae_other";2,220168067;"Isla Solarte";9,320635;-82,218417;5,999988;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Abiotic";11,8;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Hard Coral";29,1;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Soft Coral";6,4;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Sponge";1,6;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Milleporidae";0,3;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Other_organism";0,9;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Turf and Coralline";49,8;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SL4";"Algae_other";0,4;"Isla Solarte";9,326095;-82,220477;4,00001232;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Abiotic";0,801204819;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Hard Coral";48,14819277;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Soft Coral";0,1;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Sponge";0,300401606;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Milleporidae";0,200803;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Other_organism";0,301204819;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Turf and Coralline";49,04859438;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS1";"Algae_other";1,300401606;"Isla Carenero";9,35632;-82,227495;5,3000148;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Abiotic";3,761285141;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Hard Coral";53,80658635;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Soft Coral";0,8;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Sponge";0,560321285;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Milleporidae";0,401285;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Other_organism";0,481285141;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Turf and Coralline";39,94955823;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS2";"Algae_other";0,640963855;"Isla Carenero";9,354301;-82,231663;8,40001368;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Abiotic";1,906610225;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Hard Coral";47,40651796;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Soft Coral";3,894429068;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Sponge";1,907815044;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Milleporidae";1,521348;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Other_organism";1,621347552;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Turf and Coralline";41,85246934;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
2016;"SS3";"Algae_other";1,410810811;"Isla Carenero";9,350628;-82,236126;7,1999856;"DATA5.2";"Caribbean";"Panama";"Bocas del Toro"
